Goa,Hotel,Clark Hotel,luxury,4000,6
jaipur,Hotel,Jaipur palace hotel,Luxury,15000,5
jaipur,Hotel,Hotel raj mahal,Standard,5000,12
jaipur,Hotel,Amber fort hotel,Premium,13000,3
jaipur,Hotel,Mount abu resort,Standard,7000,8
jaipur,Hotel,Aravalli view resort,Luxury,16000,2
jamshedpur,Hotel,Jamshedpur resort,Deluxe,10000,7
jamshedpur,Hotel,Steel city resort,Standard,6000,12
kochi,Hotel,Kochi heritage resort,Luxury,12000,6
kochi,Hotel,The kochi grand,Standard,4000,15
kochi,Hotel,Munnar resort,Luxury,18000,3
kochi,Hotel,The tea garden resort,Deluxe,8500,7
kolkata,Hotel,Kolkata heritage hotel,Premium,12000,8
kolkata,Hotel,The park kolkata,Luxury,21000,4
kolkata,Hotel,East coast beach resort,Deluxe,9500,11
kolkata,Hotel,Darjeeling heights,Standard,8000,10
kolkata,Hotel,Himalayan view resort,Deluxe,10500,6
kolkata,Hotel,Kolkata city palace,Standard,4500,12
kolkata,Hotel,Royal bengal hotel,Luxury,20000,4
kullu,Hotel,Kullu valley resort,Standard,7000,10
kullu,Hotel,The kullu view,Deluxe,12000,6
leh,Hotel,Leh royal resort,Luxury,22000,2
leh,Hotel,Ladakh valley resort,Standard,7500,9
manali,Hotel,Manali mountain resort,Deluxe,8500,10
manali,Hotel,The snow view resort,Luxury,20000,3
mumbai,Hotel,Mumbai beach resort,Luxury,18000,12
mumbai,Hotel,Mumbai grand hotel,Premium,15000,5
mumbai,Hotel,Hotel gateway,Standard,6000,14
mumbai,Hotel,The oberoi,Luxury,25000,3
mumbai,Hotel,Lonavala hills,Standard,7500,9
mumbai,Hotel,The mountain resort,Luxury,18000,4
mussoorie,Hotel,The mussoorie resort,Deluxe,8000,9
mussoorie,Hotel,Hilltop haven,Luxury,14000,4
mysore,Hotel,Mysore heritage hotel,Premium,11000,5
mysore,Hotel,The royal mysore,Standard,5000,10
nainital,Hotel,Naini retreat,Deluxe,9500,10
nainital,Hotel,The naini palace,Standard,7000,8
patna,Hotel,Patna grand hotel,Standard,5500,10
patna,Hotel,The patna view resort,Premium,9500,8
pondicherry,Hotel,Pondy beach resort,Standard,6500,10
pondicherry,Hotel,Serenity beach resort,Deluxe,9500,6
rajasthan,Hotel,Rajasthan royal hotel,Premium,14000,6
rajasthan,Hotel,Rajputana palace,Luxury,20000,2
rishikesh,Hotel,Ganga resort,Standard,5500,15
rishikesh,Hotel,River view hotel,Luxury,18000,4
rishikesh,Hotel,Neelkanth resort,Deluxe,10000,7
rishikesh,Hotel,Yoga view resort,Luxury,15000,6
shillong,Hotel,Shillong resort,Standard,6500,10
shillong,Hotel,Cherrapunji resort,Luxury,14000,4
shimla,Hotel,Shimla hill resort,Standard,6000,12
shimla,Hotel,The shimla view,Luxury,16000,5
srinagar,Hotel,Srinagar lakeside resort,Deluxe,9500,10
srinagar,Hotel,The dal view resort,Luxury,18000,4
udaipur,Hotel,Lake view resort,Luxury,22000,3
udaipur,Hotel,Udaipur city palace,Premium,15000,5
udaipur,Hotel,Mount abu view resort,Standard,7000,8
varanasi,Hotel,Varanasi heritage hotel,Standard,4000,20
varanasi,Hotel,Varanasi royal retreat,Premium,11000,4
varanasi,Hotel,Ganges view resort,Luxury,16000,3
varanasi,Hotel,Chunar hill resort,Standard,6000,10
varanasi,Hotel,Mirzapur hill resort,Deluxe,8500,5
visakhapatnam,Hotel,Vizag beach resort,Deluxe,9000,8
visakhapatnam,Hotel,Beach view resort,Standard,6500,10
